State;"T-100 - Spec Value (Temperature)";"Bott - Master Comp Mole Frac (CO2)";"Bott - Master Comp Mole Frac (Methane)";"Bott - Master Comp Mole Frac (Nitrogen)";"Bott - Master Comp Mole Frac (Oxygen)";"Bott - Molar Flow";"Dist - Master Comp Mole Frac (CO2)";"Dist - Master Comp Mole Frac (Methane)";"Dist - Master Comp Mole Frac (Nitrogen)";"Dist - Master Comp Mole Frac (Oxygen)";"Dist - Molar Flow";"Dist - Temperature";"Q_Cond - Power";"Q_Reb - Power";"CO2 Freeze Out-Dist - Freezing Temperature"
;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
;"C";"";"";"";"";"kgmole/h";"";"";"";"";"kgmole/h";"C";"kW";"kW";"C"
"Case 1";"-50";"1.0000";"0.0000";"0.0000";"0.0000";"14.11";"0.2060";"0.6965";"0.0696";"0.0279";"35.89";"-50";"283.1";"233.7";"-56.89"
"Case 2";"-51";"1.0000";"0.0000";"0.0000";"0.0000";"14.41";"0.1993";"0.7024";"0.0702";"0.0281";"35.59";"-51.01";"281.3";"231.1";"-57.45"
"Case 3";"-52";"1.0000";"0.0000";"0.0000";"0.0000";"14.69";"0.1928";"0.7080";"0.0708";"0.0283";"35.31";"-52.01";"279.7";"228.5";"-58"
"Case 4";"-53";"1.0000";"0.0000";"0.0000";"0.0000";"14.96";"0.1865";"0.7136";"0.0714";"0.0285";"35.04";"-53.01";"278";"225.9";"-58.56"
"Case 5";"-54";"1.0000";"0.0000";"0.0000";"0.0000";"15.23";"0.1804";"0.7189";"0.0719";"0.0288";"34.77";"-54.01";"276.4";"223.4";"-59.11"
"Case 6";"-55";"1.0000";"0.0000";"0.0000";"0.0000";"15.48";"0.1745";"0.7242";"0.0724";"0.0290";"34.52";"-55.01";"274.7";"220.9";"-59.67"
"Case 7";"-56";"1.0000";"0.0000";"0.0000";"0.0000";"15.72";"0.1687";"0.7292";"0.0729";"0.0292";"34.28";"-56.01";"273";"218.3";"-60.24"
"Case 8";"-57";"1.0000";"0.0000";"0.0000";"0.0000";"15.95";"0.1630";"0.7342";"0.0734";"0.0294";"34.05";"-57.01";"271.3";"215.8";"-60.8"
"Case 9";"-58";"1.0000";"0.0000";"0.0000";"0.0000";"16.17";"0.1576";"0.7390";"0.0739";"0.0296";"33.83";"-58.02";"269.6";"213.2";"-61.37"
"Case 10";"-59";"1.0000";"0.0000";"0.0000";"0.0000";"16.38";"0.1522";"0.7436";"0.0744";"0.0297";"33.62";"-59.02";"267.7";"210.6";"-61.94"
"Case 11";"-60";"1.0000";"0.0000";"0.0000";"0.0000";"16.59";"0.1471";"0.7482";"0.0748";"0.0299";"33.41";"-60.02";"265.8";"207.8";"-62.52"
